caption_id,caption,caption_rephrased
18,"A bizarre jingle featuring chipmunk vocals, transposed instruments, electronic drums, and a high pitch that can only be described as irritating, all backed by a poor quality piano.","I'm looking for a song with chipmunk-like vocals, unconventional instrument arrangements, jarring electronic drums, and an ear-piercingly high pitch, all set against a backdrop of subpar piano accompaniment."
19,"This uptempo rock song features electrifying e-guitars and e-bass, driving acoustic drums, lively keys, and a powerful female lead voice backed by a dynamic male backing voice.","I'm looking for an uptempo rock song with electrifying electric guitars and bass, driving acoustic drums, lively keyboards, and a powerful female lead vocalist backed by a dynamic male backing vocalist."
21,"This low quality, noisy cover of a classic rock song features an electrifying guitar solo melody over a playback instrumental with punchy snare and kick, a smooth bassline, soft cymbals and a passionate, muffled vocal delivery.","I'm looking for music recommendations featuring electrifying guitar solos, punchy drums, and passionate vocals in a classic rock style similar to the song described above."
22,"Experience the iconic and timeless sound of classical baroque through a single instrument in this captivating harp canon, perfect for a calming and hopeful wedding ambiance with its catchy and positive instrumental melody.",I'd love to hear a music recommendation for a calming and hopeful wedding ambiance featuring the iconic harp canon in a classical baroque style with a catchy and positive instrumental melody.
24,"This dreamy kids' music track features a mellow melody with sustained piano synth and a nostalgic tone, accompanied by a bright xylophone and bass guitar, as well as a sleepy cello interlude, all set to a slow tempo, creating a lullaby-like atmosphere perfect for bedtime.","I'm looking for music with a mellow melody featuring sustained piano synth and a nostalgic tone, accompanied by bright xylophone and bass guitar, with a slow tempo creating a lullaby-like atmosphere perfect for bedtime."
26,An amateur recording with cinematic sound effects that create an immersive listening experience.,I'm looking for a music track with a mix of atmospheric soundscapes and cinematic sound effects to create an immersive listening experience.
27,"Featuring a blend of ambient room noise, beep tones, wind noise, and doorsteps intertwined with non-musical tones like the sound of drawer closing, this instrumental piece accompanied by a passionate male singing in a medium tempo, creates an unimpressive yet soothing atmosphere, perfect for a home improvement video or any home video.","I'm looking for music recommendations with a calming and ambient quality, featuring a blend of natural sounds, beeps, and male vocals in a medium tempo to match the atmosphere of home improvement videos."
28,"This live R&B performance features an emotional female vocalist singing over a mellow piano melody, accompanied by a noisy, low quality recording, including the occasional lip smack noise that adds to the authenticity of the raw, live feel.","""I'm looking for a live R&B performance featuring an emotional female vocalist with a mellow piano melody and some atmospheric imperfections like lip smack noises."""
29,"This low quality, noisy and muffled cover of a rock instrumental playback features a passionate and emotional electric guitar solo melody that captures the raw intensity of the genre.","I'm looking for a high-quality, clear-cut rock instrumental with an intense electric guitar solo similar to the passionate and emotional one featured in this low-quality cover."
30,"This song features a raw and low quality production with harsh and loud instrumentation, combined with low windpipe vocal sounds that add a haunting element to the natural atmosphere sound effects of birds chirping and water flowing.","Recommend a song that combines raw production with harsh instrumentation, haunting vocals, and ambient nature sounds for a unique listening experience."
31,"This live classical performance features a sustained violin melody and passionately emotional electric guitar melody layered over shimmering hi hats and a subtle female vocal, all accented by a crowd clapping along and a theremin solo, creating a truly unique and memorable experience, albeit with a low quality, noisy, mono recording.","I'm looking for music that combines classical violin and electric guitar melodies with subtle percussion and theremin elements, similar to the unique and memorable experience of a live performance despite being a low-quality recording."
33,"This pop song features upbeat digital drums, lively e-guitar and keyboard melodies, with a male voice singing in a higher register, creating a positive atmosphere perfect for dancing, accompanied by a groovy bass line.","""I'm looking for a pop song with upbeat digital drums, lively e-guitar and keyboard melodies, and a male voice singing in a higher register that creates a positive atmosphere perfect for dancing."""
34,"This intense and vigorous hard rock anthem features amplified guitar, heavy metal riffs and loud electric guitar feedback, entwined with psychedelic and trap elements, creating a captivating and entrancing listening experience, all while delivering a fast tempo and high-energy sound, complete with spiriting keyboard work, hyper drumming and chattering, scratching and screeching sounds that will leave you electrified and enthusiastic.","I'm looking for a hard rock song that combines amplified guitar, heavy metal riffs, loud electric guitar feedback, psychedelic elements, trap beats, fast tempo, high-energy sound, spiriting keyboard work, hyper drumming and chattering, scratching and screeching sounds to create an electrifying listening experience."
35,"An infectious pop tune featuring bright ukulele chords and delightful female voices blending together in perfect harmony, with a charmingly amateur recording capturing its medium to uptempo energy.",Recommend a catchy pop song with ukulele-driven melody and harmonious vocals featuring an endearing lo-fi production quality.
36,"This movie soundtrack features a philharmonic orchestra with a mysterious and tense sci-fi music, building tension with a crescendo and a booming lower harmony, combined with a string section harmony and a suspenseful horn section, as well as a tuba and slowly playing drums, all contributing to the instrumental music that perfectly captures the feeling of exploring dangerous territory in a science fiction world, despite the average audio quality.","I'm looking for an album with a similar sci-fi soundtrack style featuring a philharmonic orchestra, building tension with crescendo and lower harmony, combined string section, horn section, tuba, and slow drums, capturing the feeling of exploring dangerous territory."
37,"This instrumental sitar piece is a transcendental masterpiece showcasing the beauty of a single instrument, offering medium-to-high range melodies that transport listeners to a calm and relaxing state, perfect for meditation or relaxation.","I'd love to hear more instrumental sitar pieces like this one that transport me to a calm and relaxed state through their medium-to-high range melodies, ideal for meditation or unwinding."
38,"Experience the haunting melody of a slow pop, ethereal song with ambient sounds, no lyrics, and a female voice featuring autotune and a piano accompaniment, embellished by synth sounds and a slow tempo bass, where the absence of percussion only adds to the ethereal quality of the composition.","Recommend a song with a haunting melody featuring a female voice with autotune, piano accompaniment, and synth sounds, no lyrics, and a slow tempo bass without percussion."
39,"This catchy pop rock track features a male voice accompanied by electrifying electric guitar riffs enhanced by distortion effects, a pulsating drum beat, and a groovy synth bass, making it a must-hear for fans of the genre.","Recommend a pop rock track with a male vocalist, electrifying electric guitar riffs, pulsating drums, and groovy synth bass that's reminiscent of the genre's iconic sounds."
40,"Get ready to dance with this upbeat instrumental track featuring a loud marimba melody that will have you tapping your feet, despite the noisy and low quality production.","Recommend an upbeat instrumental track featuring a prominent marimba melody and loud sound, despite poor production quality."
41,"Experience a thrilling soundscape with this instrumental album consisting of two unrelated tracks, featuring harmonic synthesiser articulation, funky drumming and an enthusiastic digital drum rhythm, all intermingled with engaging keyboard harmony and amplified piano, creating a captivating and pleasant fusion of futuristic dance pop and vibrant EDM, heightened by the immersive surround sound - guaranteed to take you on a sonic journey through a world of ambient electro-pop groove!","Recommend an instrumental album featuring two unrelated tracks with harmonic synthesiser articulation, funky drumming, and engaging keyboard harmony for a captivating fusion of futuristic dance pop and vibrant EDM."
43,"This ska tune is a high-energy riot of brass and electric guitar, with acoustic drums and percussion driving the infectious beat, and keys and e-bass grounding and amplifying an uplifting energy that is sure to get your feet moving.","Recommend a song with a similar ska-inspired blend of brass, electric guitar, acoustic drums, percussion, keys, and e-bass that creates an uplifting energy and gets your feet moving."
45,"An immersive electro pop track with a low quality, flat female vocal backed by wide background doubling vocals resembling the hum of an airplane and explosive sound effects, intertwined with an arpeggiated synth melody and shimmering tinny bells melody, driven by energetic muffled crash cymbals and quiet drums, accentuated by a boomy groovy bass, simple hi hats, 4 on the floor kick, and claps.","I'm looking for an electro pop track with a distinctive flat female vocal, wide background doubling vocals reminiscent of airplane hum, and explosive sound effects, set against arpeggiated synths, shimmering tinny bells, driving drums and bass."
46,"This emotionally charged, hopeful song features a fruity male vocal and an accordion melody accompanied by an acoustic rhythm guitar and shimmering bells, all captured in low quality mono recording that gives it a noisy, live performance feel.","Recommend a song with a male vocalist, accordion, acoustic rhythm guitar, and shimmering bells, featuring a hopeful and emotionally charged sound in a low-quality mono recording that captures a live performance feel."
47,"This song features an authentic and charming amateur recording style, with lovely bell sounds and the peaceful ambiance of chirping birds singing in the background.",Can you recommend some songs that share a similar laid-back and intimate atmosphere to an amateur recording featuring lovely bell sounds and bird chirps?
48,"This hypnotic techno/pop track features pulsing digital drums and a catchy synth lead accompanied by rich organ and pad sounds, with a male voice singing and rapping over euphoric backing vocals, all set to a relentless and fast-paced tempo.","I'm looking for a song that combines pulsing digital drums with catchy synth leads, rich organ/pad sounds, and male vocals/rapping over euphoric backing vocals at a relentless tempo."
49,"This intensely heartfelt song features a passionate male vocal supported by an emotional piano chord progression and an electric guitar lick, building to a dramatic crescendo with the addition of a low tom roll and soft crash cymbal, while the wide background crowd screams, all contributing to the romantic and passionate atmosphere of the piece.","I'm looking for a song that features a passionate male vocal, emotional piano chords, electric guitar licks, building to a dramatic crescendo with low tom rolls and soft crash cymbals, evoking a romantic and passionate atmosphere."
51,"Get ready for an electrifying ride with this up-tempo dance hit featuring a high pitched synth melody, a pulsing riser, and a fuzzy synth backing that creates an irresistible groove that's impossible not to move to, all tied together with a catchy motif and memorable synth melody that will stay in your head long after the beat drops.","I'd love to hear the latest dance hit featuring an infectious high-pitched synth melody, pulsing riser, and fuzzy backing synths that creates an unstoppable groove with a catchy motif and memorable melody."
52,"This is a rock music tutorial featuring powerful electric guitar riffs accompanied by driving acoustic drums, blended with unique underwater sound effects to create a loud and immersive experience that is both generic and common-sounding in the best way possible.","""Can you recommend some rock music with powerful electric guitar riffs, driving drums, and unique sound effects for a loud and immersive listening experience?"""
53,"This soulful ballad features the rich, deep vocals of a male singer accompanied by delicate strings, an upright bass, and a soothing harp, while exploring the ups and downs of love and the power of forgiveness through its captivating paroles.","I'm looking for music recommendations featuring soulful male vocals accompanied by delicate instrumentation (strings, upright bass, harp) exploring themes of love and forgiveness in a ballad style."
54,"This lively country tune features the twang of a banjo, the gentle tones of an acoustic piano, the soulful sound of a violin, and the steady thump of an upright bass, all set to an upbeat and uptempo rhythm.","I'd like a country song that combines banjo twang, acoustic piano tones, soulful violin sounds, and upright bass thump into one upbeat and energetic track."
55,"This captivating Western classical piece features a mesmerizing slow tempo, beseeching soprano vocals, hauntingly intense cello, and a lush orchestra filled with passionate violins, a brass band, and expressive harp, all coming together to tell a story of pleading and emotive intensity delivered by an opera singer with both ethereal high notes and emphatic vocals.","I'm looking for music that combines haunting cello with passionate violins, brass, and harp, featuring emotive opera vocals and a slow tempo, ideally a Western classical piece that tells a story of pleading intensity."
56,"This instrumental jam features an electric guitar with a clean sound, enhanced by an effect pedal that adds a haunting echo, resulting in a dreamy and trippy vibe.",Recommend me songs with a similar instrumental jam style featuring electric guitar with a clean sound and haunting echo effects for a dreamy and trippy vibe.
58,"This instrumental bluegrass track featuring the banjo, mandolin, and acoustic guitar is a joyful and uplifting ode to rural life, offering a playful and easygoing sound that is both pastoral and refreshing.","I'm looking for an instrumental bluegrass track with banjo, mandolin, and acoustic guitar that captures the joy and simplicity of rural life in a playful and easygoing sound."
59,"This R&B ballad is defined by its dreamy e-guitar sound, sultry cymbals and digital drums, and ethereal chimes, all set against a slow tempo that accentuates the raw emotion captured by its amateur recording.","Recommend an R&B ballad with dreamy e-guitar, sultry cymbals, digital drums, and ethereal chimes on a slow tempo that showcases raw emotion in an amateur recording style."
60,"This catchy kids song features low-quality, distorted and noisy mono production, crushed keys chords and a low male vocal that adds a playful and fun touch to the tune.","I'm looking for music with a similar style to this catchy kids song, featuring a lo-fi production, crunchy chord progressions, and a low-key male vocalist that adds a playful vibe."
61,"This fingerstyle-guitar track features delicate acoustic guitar melodies played at a medium tempo, creating a classical atmosphere that is both emotional and soothing.","Recommend a fingerstyle guitar track with a classical atmosphere, featuring delicate acoustic guitar melodies played at a medium tempo, perfect for evoking emotions and providing a soothing listening experience."
62,"Experience a soulful ballad with a male singer that seamlessly blends r&b, soul, blues, and jazz over complex harmonies, syncopated beats, a groovy bass line, and steady drumming, elevated by the romantic piano and lush ambient music, while a saxophone weaves in a harmonious and emotional melody that creates a pleasant and sentimental atmosphere, perfect for a romantic interlude, wedding, or proposal, making this a love song that will stir the heartstrings.","I'm looking for a soulful ballad with r&b, soul, blues, and jazz elements featuring a male singer, complex harmonies, syncopated beats, and a saxophone melody that creates a romantic atmosphere perfect for a proposal or wedding."
63,"Get ready to dance to the electrifying beats of this techno track, featuring digital drums, a catchy synth lead sound, and a pulsating synth bass that will have you making stumping noises with your feet - all captured through an amateur recording that only enhances the raw energy of the music.","Recommend a techno track with digital drums, catchy synth lead sound, and pulsating synth bass that has an amateur recording feel to enhance its raw energy."
64,"Experience an otherworldly journey through an amateur recording filled with out-of-this-world digital sounds, a hair-raising riser, and a hauntingly atmospheric vibe.","I'm looking for music that combines otherworldly digital sounds with a hair-raising riser and hauntingly atmospheric vibes, similar to an amateur recording that takes you on an out-of-this-world journey."
65,"Featuring upbeat poprock rhythms and energizing e-bass and e-guitars, complemented by lively acoustic drums and a captivating female singer, this uptempo song is sure to get you grooving.","""Recommend an upbeat pop-rock song with e-bass and e-guitars, lively drums, and a captivating female singer."""
66,"Experience the soulful and emotive live performance of a smooth jazz band, featuring a groovy drum brushes percussion and a poignant bass solo that accompanies the inspiring and devotional piano accompaniment, while the soothing ambiance of the room and the gentle fretboard sounds create a truly romantic and timeless atmosphere of Christian church music, celebrating the power of love, togetherness, and forever.","""Recommend a smooth jazz album with a soulful live performance featuring groovy drum brushes percussion, poignant bass solo, and inspiring piano accompaniment that evokes a romantic and timeless atmosphere celebrating love and togetherness."""
67,"Get ready for a medium to uptempo, genre-bending track with a rock/pop blend that showcases electrifying e-guitar and e-bass riffs, an infectious piano melody, and bold synth textures all anchored by a powerhouse female voice singing, with dynamic drums driving the rhythm forward and unexpected song changes giving it an edge.","I'm looking for a medium to uptempo track that blends rock and pop with electrifying guitar and bass riffs, infectious piano melodies, bold synth textures, and a powerhouse female voice."
68,"This k-pop love song features a male vocalist singing in Korean with a youthfully sentimental tone, set to a melodic and dulcet medium tempo track infused with world music influences, including atmospheric synths and chimes, a romantic piano, steady drumming and straightforward bass lines, all backed by a boy band chorus for a pleasantly emotional and ambient experience.","Can you recommend a K-pop love song with a youthful sentimental tone, featuring a male vocalist singing in Korean over a melodic medium tempo track with atmospheric synths, chimes, piano, and boy band chorus?"
69,"This poignant track features powerful male vocals set against a backdrop of classic rock instrumentation, including haunting synths, somber piano chords, groovy bass guitar lines, and raw acoustic drums that combine to create a slow and melancholic feel.","I'm looking for music with powerful male vocals, classic rock instrumentation featuring haunting synths, piano chords, bass lines, and acoustic drums that create a slow and melancholic atmosphere."
70,"Experience an entertaining and energetic love video performance where the virtuoso banjo player stands out as a soloist, delivering passionate and spirited instrumental music with a fast tempo and groovy country blue grass sound, energized by a captivating walking bass line, all in a live set that despite its poor audio quality, will leave you impressed and wanting more.","I'm looking for a country bluegrass song with a virtuosic banjo soloist, fast tempo, and groovy sound, featuring a captivating walking bass line, even if the audio quality is poor."
72,"Get ready to sing along with adorable and engaging male vocalist, who brings a cheerful and spirited energy to fast-paced foreign language children's songs that will have your little ones bouncing to the fun and catchy vocal emphasis and minimalist yet charming piano accompaniment in this popular kids animated series!","Recommend a music playlist featuring upbeat children's songs with a cheerful male vocalist from a popular animated series, characterized by fast-paced lyrics and minimalist piano accompaniment."
74,"This amateur recording features an electrifying electro sound with a captivating female voice singing over a pulsating bass line and energizing digital drums, accompanied by ethereal digital strings resulting in an upbeat composition that will inspire movement.",I'd love to hear more electro-pop tracks with a strong female lead vocalist and pulsating rhythms like the one described in this amateur recording.
75,"This hilarious parody track features chipmunk vocals and sound effects, accompanied by upbeat electronic music, bringing to life the comedic story of a high-pitch hamster.",Can you recommend some funny electronic songs with quirky vocal styles like chipmunk voices and sound effects that also tell humorous stories?
76,"Get ready to lose yourself in the addictive energy of this rock anthem, led by a passionate male vocal and backed by harmonizing male vocals, a wide electric guitar melody, groovy bass, punchy kick, punchy snare, and shimmering cymbals that will leave you feeling energized and alive.","Recommend the rock anthem with a passionate male lead vocal, harmonizing backing vocals, wide electric guitar melody, groovy bassline, punchy kick drum, snare hits, and shimmering cymbals that evokes an energetic and alive feel."
77,"Experience an exciting and spirited hip hop song with a party mood, featuring a medium tempo dance rhythm, groovy bass line, slick drumming rhythm, and horns playing a groovy fanfare, accompanied by both keyboard arpeggiated tones and camera clicking tones as the male singer delivers his lyrics over camera flash sounds, all building up to an energetic song ending with siren tones, perfect as instrumental music for end credits or as a background for dancing groove.","Recommend a hip hop song with a party mood, featuring medium tempo dance rhythm, groovy bass line, and horns playing fanfare, accompanied by keyboard arpeggiated tones and camera clicking sounds."
78,"This song features a wide resonating woodwind melody that rides over a noisy, crackling audio track, creating a loud and harsh atmosphere that's exalted in low-quality audio.","Can you recommend songs with a similar combination of prominent woodwind melodies and distorted, crackling audio textures?"
79,"This song is a relentless assault of metal, featuring driving double pedal kicks, punchy snares, shimmering cymbals, and a wide aggressive electric guitar riff, all anchored by the distorted bass guitar and manic distorted flat male vocals, resulting in an energetic and aggressive track that packs a punch.","I'm looking for more music like a relentless assault of metal with driving double pedal kicks, punchy snares, shimmering cymbals, and aggressive electric guitar riffs, with distorted bass and vocals that pack a punch."
80,"Charged with an adrenaline-fueled ska beat, accentuated by the rhythmic strumming of acoustic guitars and a sporadic shaker, this uptempo track is driven by the ebb and flow of the e-bass and acoustic drums, with the addition of a dynamic male voice delivering both singing and rapping verses, all complemented by male backing vocals.","I'm looking for an upbeat ska track featuring acoustic guitars, shaker, e-bass, drums, and a dynamic male vocalist with singing and rapping verses, accompanied by backing vocals."
81,"This soulful R&B track boasts a low quality live performance with a passionate echoing male vocal, punchy kick, and snare that accompanies an electric guitar arpeggiated melody and fat bass guitar while the reverberant sound of people chattering creates a nostalgic vibe.","Recommend a soulful R&B track with a live performance featuring echoing vocals, punchy drums, electric guitar arpeggios, and fat bass, accompanied by the nostalgic sound of crowd chatter."
82,"This new Ethiopian music composition features digital drums, a male voice sample, an accordion-like sound, e-bass, and a medium tempo that brings an uplifting energy.","""Recommend a song with similar qualities to this new Ethiopian music composition: digital drums, male voice sample, accordion-like sound, e-bass, and medium tempo."""
83,"This children's song features a playful, easygoing female vocal accompanied by acoustic and electric guitars, a bass guitar, acoustic drums, and a repeated theme, creating a simple, medium tempo tune perfect for young ones.","I'm looking for a children's song with an upbeat, easygoing female vocal accompanied by guitars, bass, drums, and a catchy theme, ideal for kids."
85,"This mesmerizing song boasts an enchanting oriental melody with a delicate harp accompaniment, complemented by striking low and high frequencies, all woven together seamlessly with a captivating medium tempo.","I'm looking for a song that features an oriental melody, delicate harp accompaniment, and striking low and high frequencies blended together at a captivating medium tempo."
86,"This alternative track features a unique blend of trippy sounds created by a vocoder, haunting keyboard, and driving acoustic drums.","Recommend an alternative track with a unique blend of trippy sounds from vocoder, haunting keyboards, and driving acoustic drums."
87,"This smooth R&B track features soulful male vocals accompanied by rich male backing vocals, driven by the lively beat of electric piano, drums, and bass guitar, with a subtle touch of tubular bell for an unforgettable musical experience.","Recommend a smooth R&B track featuring soulful male vocals, rich backing harmonies, electric piano, drums, and bass guitar, with subtle tubular bell accents."
88,"This alternative/indie track features a low-quality, noisy recording of a live performance, with a wooden percussive element and acoustic guitar strummed chords accompanying a passionate female vocal that evokes raw emotion, all presented through an unbalanced stereo image.","I'm looking for more indie/alternative tracks with lo-fi, noisy live recordings, wooden percussion, acoustic guitar, and emotive female vocals."
89,"Experience an electrifying and youthful musical ride with a male singer leading powerful and emotional storytelling through a slow tempo groove filled with funky bass lines, intense drumming, synthesizer arrangements, and vocal backup, blending hip-hop, rap, pop rap, and disco rap elements that create a compelling and engaging soundscape full of rhythmic speeches that are both passionate and persuasive, making it an instant classic filled with hip-hop hits.","I'm looking for music recommendations featuring a male singer with powerful storytelling, blending elements of hip-hop, rap, pop rap, and disco rap, with slow tempo grooves, funky bass lines, intense drumming, synthesizer arrangements, and vocal backup."
90,"An animated instrumental children's song that will surely keep your toddler's mind stimulated, featuring an array of animal sounds like water splashing, ducks quacking, and more, all while learning about ducks and the sound of water in a fun and educational way - perfect for kindergarten and preschool-age children!","I'm looking for an animated instrumental children's song that features animal sounds and teaches about ducks and water in a fun and educational way, suitable for kindergarten and preschool-age children."
92,"This energetic track features a blend of rock and pop with driving e-guitars and e-bass, powerful acoustic drums, and a group of male voices singing in a higher register, all coming together to create an uptempo anthem perfect for kicking off any party.","I'm looking for an energetic rock-pop track with driving e-guitars and e-bass, powerful acoustic drums, and male voices singing in a higher register to kick off any party."
93,"This folk song features a traditional, emotional live performance with a subtle sitar melody and low quality, noisy and distorted yet passionately delivered female vocals.","Recommend a folk song with a traditional, emotional live performance featuring a subtle sitar melody and raw, passionate female vocals with a slightly rough, noisy quality."
95,"Experience a piano-driven melody as the absence of percussion allows for a serene atmosphere, while the subtle whirring propeller sound adds a sense of adventure; all interwoven with a spoken male narrative voice at the end, set to a moderate tempo.","I'm looking for a song that features a piano-driven melody without percussion, accompanied by a subtle propeller sound and ends with a spoken male narrative voice at a moderate tempo."
96,"This hip-hop track features male vocals rapping a repeated theme over a simple keyboard and synth bass groove, with electronic drums driving the loud and groovy dance beat.","Recommend me a hip-hop track with male vocals that features a repetitive theme rapped over a simple keyboard and synth bass groove, driven by electronic drums for a loud and groovy dance beat."
97,"Experience the raw energy of a low quality live performance, as the loud steel pans melody serenades you alongside a playback instrumental, complemented by the shimmering hi hats, open hats, and 4 on the floor kick, all while the ecstatic crowd talks in the background, transporting you to an exotic place.","I'd love a music recommendation that captures the raw energy of a live steel pans performance with loud melodies, hi hats, and kick drum, accompanied by the chatter of an ecstatic crowd."
98,"This upbeat song featuring an acoustic piano is accompanied by background noises of wind, and despite its amateur recording, it still manages to captivate and uplift the listener.","I'm looking for a song that combines uplifting lyrics with soothing acoustic piano and natural background sounds, similar to the atmosphere found in this amateur-recorded track."
99,"This song is a perfect blend of country and pop with a touching singer-songwriter flair, featuring an emotional, soulful male voice that's accompanied by the soft strums of an acoustic guitar.","Recommend a song that combines country and pop with a heartfelt singer-songwriter vibe, featuring a emotive male vocalist backed by gentle acoustic guitar work."
100,"This catchy advertisement jingle incorporates drill sounds alongside a driving rock music instrumental featuring an electric guitar and keyboard, backed by acoustic sounding drums for an overall generic yet effective and simple tune.","I'm looking for a song that combines drill sounds with driving rock instrumentation, featuring an electric guitar and keyboard, backed by acoustic-sounding drums."
101,"This haunting track features a dark melody played on a music box, accompanied by eerie white noise, and creates a chilling and unsettling atmosphere.",Recommend the haunting track featuring a dark music box melody with eerie white noise that creates a chilling and unsettling atmosphere.
103,"This live performance of traditional South Asian music is packed with old desi tunes, fast-paced rhythmic singing, and energetic tabla playing, with the audience enthusiastically clapping their hands and fully immersed in the vibrant and upbeat atmosphere.",I'd love to listen to a live album featuring traditional South Asian music with energetic tabla playing and upbeat singing that captures the enthusiastic energy of the audience.
105,"This live performance of low quality audio features a captivating blend of folk music with traditional Irish instruments such as the banjo, mandolin, and Irish bouzouki guitar, accompanied by elderly male vocals singing classic Irish ballads in an authentic and evocative manner.","I'm looking for music recommendations featuring traditional Irish instruments like banjo, mandolin, and bouzouki guitar, with elderly male vocals singing classic Irish ballads in an authentic style."
106,"Experience a playful and vibrant live performance with this Finnish techno pop track that incorporates elements of polka and yodel-like singing from both male and female vocals, backed by an electrifying combination of keyboard, bass, and electronic drums - perfect for a danceable and upbeat medium tempo party vibe with a distinctly European sound!","Recommend the Finnish techno pop track that combines polka and yodel-like vocals with keyboard, bass, and electronic drums for a lively medium tempo party vibe."
107,"Experience soul-stirring gospel music with a Christian touch, as a male vocalist delivers melodic and passionate singing over a simple yet deep acoustic tune, resonating religious vibes through the strums of an acoustic guitar.","Recommend music with a male vocalist delivering soul-stirring gospel-inspired melodies accompanied by simple yet powerful acoustic guitar playing, evoking Christian themes and resonant religious vibes."
